,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc
21,22,264.0,153.5,8.5,287418662.58,0.0,2,-1.67,33.68,26.98,0.03,80131606
648658,22,266.0,152.5,8.5,285153954.7,0.0,2,-1.67,33.69,26.99,0.03,80780243
1281157,22,268.0,152.5,8.5,285153954.7,0.0,2,-1.67,33.72,27.01,0.03,81412742
1909705,22,273.0,150.5,8.5,280672260.58,0.0,2,-1.71,33.77,27.06,0.02,82041290
21,22,275.0,148.5,8.5,276253627.46,0.0,2,-1.74,33.82,27.1,0.02,82663713
606527,22,278.0,146.5,8.5,271897443.1,0.0,2,-1.78,33.85,27.12,0.02,83270219
1192516,22,282.0,146.5,8.5,271897443.1,0.0,2,-1.79,33.88,27.14,0.02,83856208
1750853,22,283.0,147.5,8.5,274067781.92,0.0,2,-1.79,33.86,27.12,0.02,84414545
21,22,288.0,143.5,8.5,265478836.32,0.0,2,-1.8,33.91,27.17,0.02,84938874
459044,22,290.0,145.5,8.5,269742575.71,0.0,2,-1.8,33.92,27.17,0.02,85397897
872200,22,294.0,143.5,8.5,265478836.32,0.0,2,-1.8,33.94,27.19,0.02,85811053
1261932,22,297.0,134.5,8.5,247035200.69,0.0,2,-1.8,34.0,27.24,0.01,86200785
1645197,22,300.0,131.5,8.5,241150773.61,0.0,2,-1.77,34.0,27.24,0.02,86584050
2036833,22,303.0,133.5,8.5,245059335.18,0.0,2,-1.77,34.01,27.25,0.03,86975686
21,22,306.0,129.5,8.5,237299048.21,0.0,2,-1.8,34.02,27.25,0.01,87388788
469408,22,307.0,127.5,8.5,233503628.69,0.0,2,-1.78,34.0,27.24,0.01,87858175
1011259,22,311.0,126.5,8.5,231626841.51,0.0,2,-1.77,34.0,27.24,0.01,88400026
1605723,22,313.0,126.5,8.5,231626841.51,0.0,2,-1.77,34.0,27.24,0.01,88994490
21,22,316.0,126.5,8.5,231626841.51,0.0,2,-1.76,33.99,27.23,0.01,89702889
791678,22,320.0,126.5,8.5,231626841.51,0.0,2,-1.74,34.03,27.26,0.01,90494546
1630277,22,323.0,127.5,8.5,233503628.69,0.0,2,-1.75,34.02,27.26,0.01,91333145
21,22,327.0,128.5,8.5,235394381.9,0.0,2,-1.79,34.04,27.27,0.01,92220041
1045686,22,329.0,133.5,8.5,245059335.18,0.0,2,-1.79,34.02,27.25,0.01,93265706
21,22,331.0,127.5,8.5,233503628.69,0.0,2,-1.78,34.02,27.26,0.01,94426224
1149432,22,335.0,120.5,8.5,220653400.75,0.0,2,-1.79,33.72,27.02,0.01,95575635
21,22,337.0,120.5,8.5,220653400.75,0.0,2,-1.78,33.89,27.15,0.01,96714462
1094111,22,340.0,120.5,8.5,220653400.75,0.0,2,-1.8,33.99,27.23,0.01,97808552
21,22,345.0,161.5,8.5,306119537.25,0.0,2,-1.81,33.68,26.98,0.01,98853701
1041140,22,348.0,162.5,8.5,308531188.68,0.0,2,-1.8,33.59,26.91,0.01,99894820
21,22,350.0,159.5,8.5,301346028.95,0.0,2,-1.8,33.72,27.01,0.01,100900243
946335,22,354.0,155.5,8.5,291996216.39,0.0,2,-1.82,33.81,27.09,0.01,101846557
21,22,355.0,155.5,8.5,291996216.39,0.0,2,-1.82,33.81,27.09,0.01,102763670
880111,22,358.0,142.5,8.5,263369802.14,0.0,2,-1.79,33.77,27.06,0.02,103643760
1730272,22,362.0,100.5,8.5,187447925.76,0.0,2,-1.66,33.66,26.96,0.02,104493921
21,22,366.0,13.5,8.5,90608633.17,0.0,2,-0.41,33.7,26.95,0.02,105320066
837076,22,369.0,29.5,8.5,103740438.46,0.0,2,-1.89,32.71,26.2,0.01,106157121
1685449,22,370.0,29.5,8.5,103740438.46,0.0,2,-1.88,32.89,26.35,0.01,107005494
21,22,374.0,29.5,8.5,103740438.46,0.0,2,-0.95,33.82,27.07,0.02,107819996
719566,22,377.0,34.5,8.5,108208648.63,0.0,2,-1.32,33.88,27.13,0.02,108539541
1274883,22,381.0,42.5,8.5,115745935.01,0.0,2,-1.76,33.85,27.12,0.02,109094858
1747715,22,383.0,44.5,8.5,117707729.16,0.0,2,-1.73,33.91,27.17,0.01,109567690
21,22,386.0,90.5,8.5,172650445.79,0.0,2,-1.43,33.54,26.86,0.04,110098791
584306,22,388.0,89.5,8.5,171232564.35,0.0,2,-1.66,33.74,27.03,0.04,110683076
1192111,22,391.0,89.5,8.5,171232564.35,0.0,2,-1.73,33.92,27.18,0.02,111290881
1822275,22,396.0,92.5,8.5,175519338.8,0.0,2,-1.75,33.99,27.23,0.01,111921045
21,22,398.0,163.5,8.5,310959600.96,0.0,2,-1.04,33.47,26.79,0.01,112555581
605929,22,402.0,385.75,8.5,635561113.65,0.0,2,22.42,35.96,24.7,0.02,113161489
1205310,22,403.0,385.75,8.5,635561113.65,0.0,2,22.39,35.97,24.71,0.03,113760870
1847470,22,407.0,384.75,8.5,633023983.1,0.0,2,22.68,35.86,24.55,0.02,114403030
21,22,410.0,376.75,8.5,612432096.53,0.0,2,21.59,35.98,24.94,0.02,115122769
784132,22,414.0,392.75,8.5,653052462.59,0.0,2,22.89,35.71,24.37,0.01,115906880
1612759,22,416.0,384.75,8.5,633023983.1,0.0,2,22.74,35.8,24.48,0.01,116735507
21,22,419.0,393.75,8.5,655509688.11,0.0,2,22.84,35.71,24.39,0.01,117610510
