,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc,binnedx_i,binnedy_i,bin_depth_i
1437706,630457,1437.0,299.5,51.25,9163887790.91,-31104000.0,2,2.25,34.64,27.66,1.32,359161100,1437,300,51
1437707,630458,1437.0,299.83,51.75,9163887790.91,-31104000.0,2,2.25,34.64,27.66,1.32,359161101,1437,300,52
1437708,630459,1437.0,299.83,51.25,9163887790.91,-31104000.0,2,2.25,34.64,27.66,1.32,359161102,1437,300,51
1437709,630460,1437.0,299.16,52.75,9604436971.24,-31104000.0,2,2.24,34.69,27.7,1.36,359161103,1437,299,53
1437710,630461,1437.0,299.16,52.25,9604436971.24,-31104000.0,2,2.24,34.69,27.7,1.36,359161104,1437,299,52
1437711,630462,1437.0,299.5,52.75,9604436971.24,-31104000.0,2,2.24,34.69,27.7,1.36,359161105,1437,300,53
1437712,630463,1437.0,299.5,52.25,9604436971.24,-31104000.0,2,2.24,34.69,27.7,1.36,359161106,1437,300,52
1437713,630464,1437.0,299.83,52.75,9604436971.24,-31104000.0,2,2.24,34.69,27.7,1.36,359161107,1437,300,53
1437714,630465,1437.0,299.83,52.25,9604436971.24,-31104000.0,2,2.24,34.69,27.7,1.36,359161108,1437,300,52
1437715,630466,1437.0,299.07,53.5,8587645257.93,-31104000.0,2,2.22,34.72,27.73,1.39,359161109,1437,299,54
1437716,630467,1437.0,299.21,53.5,8587645257.93,-31104000.0,2,2.22,34.72,27.73,1.39,359161110,1437,299,54
1437717,630468,1437.0,299.35,53.5,8587645257.93,-31104000.0,2,2.22,34.72,27.73,1.39,359161111,1437,299,54
1437718,630469,1437.0,299.5,53.5,8587645257.93,-31104000.0,2,2.22,34.72,27.73,1.39,359161112,1437,300,54
1437719,630470,1437.0,299.64,53.5,8587645257.93,-31104000.0,2,2.22,34.72,27.73,1.39,359161113,1437,300,54
1437720,630471,1437.0,299.78,53.5,8587645257.93,-31104000.0,2,2.22,34.72,27.73,1.39,359161114,1437,300,54
